Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
BC-0345795864.raw__raw_reads.read_1	80.18028215585744	56.0	151.0	27.27272727272727	26429701.0
BC-0345795864.raw__raw_reads.read_2	79.25608256849648	56.0	151.0	27.27272727272727	26429701.0
BC-0345795896.raw__raw_reads.read_1	80.85525484557999	57.0	151.0	27.27272727272727	28874613.0
BC-0345795896.raw__raw_reads.read_2	79.71510591386027	57.0	151.0	27.27272727272727	28874613.0
BC-0345797312.raw__raw_reads.read_1	83.36643195158439	54.0	151.0	27.27272727272727	29759045.0
BC-0345797312.raw__raw_reads.read_2	82.71199191630126	54.0	151.0	27.27272727272727	29759045.0
BC-0345797317.raw__raw_reads.read_1	82.76766255916372	55.0	151.0	27.27272727272727	32109146.0
BC-0345797317.raw__raw_reads.read_2	80.87639786735332	55.0	151.0	27.27272727272727	32109146.0
BC-0345797602.raw__raw_reads.read_1	83.58607776980749	56.0	151.0	27.27272727272727	34040724.0
BC-0345797602.raw__raw_reads.read_2	82.29918404336438	55.0	151.0	27.27272727272727	34040724.0
BC-0345797632.raw__raw_reads.read_1	86.8676835582413	55.0	151.0	27.27272727272727	32143188.0
BC-0345797632.raw__raw_reads.read_2	85.64222858427736	55.0	151.0	27.27272727272727	32143188.0
BC-0345797636.raw__raw_reads.read_1	84.20558588943135	56.0	151.0	27.27272727272727	33540468.0
BC-0345797636.raw__raw_reads.read_2	81.23227768517273	56.0	151.0	27.27272727272727	33540468.0
BC-0345797641.raw__raw_reads.read_1	87.4047559989727	55.0	151.0	27.27272727272727	31725858.0
BC-0345797641.raw__raw_reads.read_2	85.78720187708849	55.0	151.0	27.27272727272727	31725858.0
BC-0345797645.raw__raw_reads.read_1	96.48824606153829	51.0	151.0	36.36363636363637	24900015.0
BC-0345797645.raw__raw_reads.read_2	94.13262880113953	51.0	151.0	27.27272727272727	24900015.0
BC-0345797686.raw__raw_reads.read_1	82.6262476562305	57.0	151.0	27.27272727272727	32450722.0
BC-0345797686.raw__raw_reads.read_2	81.42022818619054	56.0	151.0	27.27272727272727	32450722.0
BC-0345797802.raw__raw_reads.read_1	95.51322089063868	53.0	151.0	27.27272727272727	21724671.0
BC-0345797802.raw__raw_reads.read_2	94.16917335741084	52.0	151.0	27.27272727272727	21724671.0
BC-0345797815.raw__raw_reads.read_1	89.8256800361416	58.0	151.0	36.36363636363637	27307616.0
BC-0345797815.raw__raw_reads.read_2	88.77382109609243	58.0	151.0	36.36363636363637	27307616.0
BC-0345797817.raw__raw_reads.read_1	90.6782171375776	53.0	151.0	27.27272727272727	30610180.0
BC-0345797817.raw__raw_reads.read_2	89.34010927395902	53.0	151.0	27.27272727272727	30610180.0
BC-0345797839.raw__raw_reads.read_1	85.83696667618764	55.0	151.0	27.27272727272727	32479546.0
BC-0345797839.raw__raw_reads.read_2	83.44629851970535	55.0	151.0	27.27272727272727	32479546.0
BC-0345798087.raw__raw_reads.read_1	85.56026931627147	54.0	151.0	27.27272727272727	24980249.0
BC-0345798087.raw__raw_reads.read_2	84.09644116298611	54.0	151.0	27.27272727272727	24980249.0
BC-0345798943.raw__raw_reads.read_1	83.15304401579473	56.0	151.0	27.27272727272727	30586072.0
BC-0345798943.raw__raw_reads.read_2	81.75808400255924	56.0	151.0	27.27272727272727	30586072.0
BC-0345799013.raw__raw_reads.read_1	87.78516421431569	56.0	151.0	27.27272727272727	32271331.0
BC-0345799013.raw__raw_reads.read_2	86.08213541570206	55.0	151.0	27.27272727272727	32271331.0
BC-0361053718.raw__raw_reads.read_1	87.90291746044716	57.0	151.0	27.27272727272727	28488944.0
BC-0361053718.raw__raw_reads.read_2	86.46666530985995	56.0	151.0	27.27272727272727	28488944.0
BC-0361053744.raw__raw_reads.read_1	93.80934665903945	54.0	151.0	27.27272727272727	29735724.0
BC-0361053744.raw__raw_reads.read_2	92.19062748140469	53.0	151.0	27.27272727272727	29735724.0
BC-0361057091.raw__raw_reads.read_1	94.58783218788115	54.0	151.0	27.27272727272727	29352737.0
BC-0361057091.raw__raw_reads.read_2	92.8728478445182	54.0	151.0	27.27272727272727	29352737.0
