Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
BC-0345795864.raw__raw_reads.read_1_val_1	BC-0345795864.raw__raw_reads.read_1_val_1.fq	Conventional base calls	Sanger / Illumina 1.9	26314399.0	0.0	50-151	56.0	20.176314411105693	141.21136397604977	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
BC-0345795864.raw__raw_reads.read_2_val_2	BC-0345795864.raw__raw_reads.read_2_val_2.fq	Conventional base calls	Sanger / Illumina 1.9	26314399.0	0.0	50-151	56.0	21.0581151028306	141.06516413314247	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
BC-0345795896.raw__raw_reads.read_1_val_1	BC-0345795896.raw__raw_reads.read_1_val_1.fq	Conventional base calls	Sanger / Illumina 1.9	28725724.0	0.0	50-151	57.0	19.521015701686046	141.86632486617222	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
BC-0345795896.raw__raw_reads.read_2_val_2	BC-0345795896.raw__raw_reads.read_2_val_2.fq	Conventional base calls	Sanger / Illumina 1.9	28725724.0	0.0	50-151	57.0	20.631904942137787	141.7230125862102	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
BC-0345797312.raw__raw_reads.read_1_val_1	BC-0345797312.raw__raw_reads.read_1_val_1.fq	Conventional base calls	Sanger / Illumina 1.9	29564045.0	0.0	50-151	54.0	17.180357816712785	138.46348309238468	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
BC-0345797312.raw__raw_reads.read_2_val_2	BC-0345797312.raw__raw_reads.read_2_val_2.fq	Conventional base calls	Sanger / Illumina 1.9	29564045.0	0.0	50-151	54.0	17.73317965164923	138.31793619580813	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
BC-0345797317.raw__raw_reads.read_1_val_1	BC-0345797317.raw__raw_reads.read_1_val_1.fq	Conventional base calls	Sanger / Illumina 1.9	31902925.0	0.0	50-151	55.0	17.567044726179777	141.4696164379912	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
BC-0345797317.raw__raw_reads.read_2_val_2	BC-0345797317.raw__raw_reads.read_2_val_2.fq	Conventional base calls	Sanger / Illumina 1.9	31902925.0	0.0	50-151	55.0	19.33864046650801	141.29819021296638	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
BC-0345797602.raw__raw_reads.read_1_val_1	BC-0345797602.raw__raw_reads.read_1_val_1.fq	Conventional base calls	Sanger / Illumina 1.9	33874108.0	0.0	50-151	56.0	16.62990777020033	143.8084456718388	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
BC-0345797602.raw__raw_reads.read_2_val_2	BC-0345797602.raw__raw_reads.read_2_val_2.fq	Conventional base calls	Sanger / Illumina 1.9	33874108.0	0.0	50-151	56.0	17.73167279777735	143.63625279815486	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
BC-0345797632.raw__raw_reads.read_1_val_1	BC-0345797632.raw__raw_reads.read_1_val_1.fq	Conventional base calls	Sanger / Illumina 1.9	32004101.0	0.0	50-151	55.0	13.258071493814708	144.3887054662151	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
BC-0345797632.raw__raw_reads.read_2_val_2	BC-0345797632.raw__raw_reads.read_2_val_2.fq	Conventional base calls	Sanger / Illumina 1.9	32004101.0	0.0	50-151	55.0	14.30803384477955	144.21595926097095	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
BC-0345797636.raw__raw_reads.read_1_val_1	BC-0345797636.raw__raw_reads.read_1_val_1.fq	Conventional base calls	Sanger / Illumina 1.9	33361850.0	0.0	50-151	56.0	16.018194682398736	143.62358133616692	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
BC-0345797636.raw__raw_reads.read_2_val_2	BC-0345797636.raw__raw_reads.read_2_val_2.fq	Conventional base calls	Sanger / Illumina 1.9	33361850.0	0.0	50-151	56.0	18.93991212942517	143.4309307187701	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
BC-0345797641.raw__raw_reads.read_1_val_1	BC-0345797641.raw__raw_reads.read_1_val_1.fq	Conventional base calls	Sanger / Illumina 1.9	31585766.0	0.0	50-151	55.0	12.68307865923412	145.65807905371045	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
BC-0345797641.raw__raw_reads.read_2_val_2	BC-0345797641.raw__raw_reads.read_2_val_2.fq	Conventional base calls	Sanger / Illumina 1.9	31585766.0	0.0	50-151	55.0	14.153569102492316	145.47844377115945	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
BC-0345797645.raw__raw_reads.read_1_val_1	BC-0345797645.raw__raw_reads.read_1_val_1.fq	Conventional base calls	Sanger / Illumina 1.9	24341999.0	0.0	50-151	50.0	3.451392316285838	143.77437514478578	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
BC-0345797645.raw__raw_reads.read_2_val_2	BC-0345797645.raw__raw_reads.read_2_val_2.fq	Conventional base calls	Sanger / Illumina 1.9	24341999.0	0.0	50-151	50.0	5.00374979205691	143.62052052503986	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
BC-0345797686.raw__raw_reads.read_1_val_1	BC-0345797686.raw__raw_reads.read_1_val_1.fq	Conventional base calls	Sanger / Illumina 1.9	32283763.0	0.0	50-151	57.0	17.679044472713905	142.84386974963235	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
BC-0345797686.raw__raw_reads.read_2_val_2	BC-0345797686.raw__raw_reads.read_2_val_2.fq	Conventional base calls	Sanger / Illumina 1.9	32283763.0	0.0	50-151	57.0	18.73996867664846	142.66118546961206	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
