Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
BC-0345795864.raw__raw_reads.read_1_val_1	79.8236855888943	56.0	141.21136397604977	18.181818181818183	26314399.0
BC-0345795864.raw__raw_reads.read_2_val_2	78.9418848971694	56.0	141.06516413314247	18.181818181818183	26314399.0
BC-0345795896.raw__raw_reads.read_1_val_1	80.47898429831395	57.0	141.86632486617222	18.181818181818183	28725724.0
BC-0345795896.raw__raw_reads.read_2_val_2	79.3680950578622	57.0	141.7230125862102	18.181818181818183	28725724.0
BC-0345797312.raw__raw_reads.read_1_val_1	82.81964218328721	54.0	138.46348309238468	18.181818181818183	29564045.0
BC-0345797312.raw__raw_reads.read_2_val_2	82.26682034835076	54.0	138.31793619580813	18.181818181818183	29564045.0
BC-0345797317.raw__raw_reads.read_1_val_1	82.43295527382023	55.0	141.4696164379912	18.181818181818183	31902925.0
BC-0345797317.raw__raw_reads.read_2_val_2	80.66135953349199	55.0	141.29819021296638	18.181818181818183	31902925.0
BC-0345797602.raw__raw_reads.read_1_val_1	83.37009222979967	56.0	143.8084456718388	18.181818181818183	33874108.0
BC-0345797602.raw__raw_reads.read_2_val_2	82.26832720222265	56.0	143.63625279815486	18.181818181818183	33874108.0
BC-0345797632.raw__raw_reads.read_1_val_1	86.74192850618529	55.0	144.3887054662151	18.181818181818183	32004101.0
BC-0345797632.raw__raw_reads.read_2_val_2	85.69196615522046	55.0	144.21595926097095	18.181818181818183	32004101.0
BC-0345797636.raw__raw_reads.read_1_val_1	83.98180531760127	56.0	143.62358133616692	18.181818181818183	33361850.0
BC-0345797636.raw__raw_reads.read_2_val_2	81.06008787057483	56.0	143.4309307187701	18.181818181818183	33361850.0
BC-0345797641.raw__raw_reads.read_1_val_1	87.31692134076587	55.0	145.65807905371045	18.181818181818183	31585766.0
BC-0345797641.raw__raw_reads.read_2_val_2	85.84643089750769	55.0	145.47844377115945	18.181818181818183	31585766.0
BC-0345797645.raw__raw_reads.read_1_val_1	96.54860768371417	50.0	143.77437514478578	27.27272727272727	24341999.0
BC-0345797645.raw__raw_reads.read_2_val_2	94.99625020794309	50.0	143.62052052503986	18.181818181818183	24341999.0
BC-0345797686.raw__raw_reads.read_1_val_1	82.32095552728609	57.0	142.84386974963235	18.181818181818183	32283763.0
BC-0345797686.raw__raw_reads.read_2_val_2	81.26003132335154	57.0	142.66118546961206	18.181818181818183	32283763.0
BC-0345797802.raw__raw_reads.read_1_val_1	95.5499670128755	52.0	142.94464475566502	27.27272727272727	21471588.0
BC-0345797802.raw__raw_reads.read_2_val_2	94.4896258746488	52.0	142.80096707332498	18.181818181818183	21471588.0
BC-0345797815.raw__raw_reads.read_1_val_1	89.74799371049497	58.0	142.81196731831838	27.27272727272727	27138628.0
BC-0345797815.raw__raw_reads.read_2_val_2	88.8738272478873	58.0	142.62223654047654	27.27272727272727	27138628.0
BC-0345797817.raw__raw_reads.read_1_val_1	90.55022008515371	53.0	142.229423278426	18.181818181818183	30477705.0
BC-0345797817.raw__raw_reads.read_2_val_2	89.42438230232784	53.0	142.07652685791138	18.181818181818183	30477705.0
BC-0345797839.raw__raw_reads.read_1_val_1	85.68211763914844	55.0	142.76154907701493	18.181818181818183	32324358.0
BC-0345797839.raw__raw_reads.read_2_val_2	83.44757576143365	55.0	142.59316735695106	18.181818181818183	32324358.0
BC-0345798087.raw__raw_reads.read_1_val_1	85.29387083310888	54.0	141.41550947846457	18.181818181818183	24842473.0
BC-0345798087.raw__raw_reads.read_2_val_2	84.01887423429274	54.0	141.24972236057175	18.181818181818183	24842473.0
BC-0345798943.raw__raw_reads.read_1_val_1	82.99110250352255	56.0	143.89898989368015	18.181818181818183	30437588.0
BC-0345798943.raw__raw_reads.read_2_val_2	81.70230229682312	56.0	143.725831034969	18.181818181818183	30437588.0
BC-0345799013.raw__raw_reads.read_1_val_1	87.659560132011	56.0	143.4029027031113	18.181818181818183	32133083.0
BC-0345799013.raw__raw_reads.read_2_val_2	86.04101935256682	56.0	143.23119857500134	18.181818181818183	32133083.0
BC-0361053718.raw__raw_reads.read_1_val_1	87.79512599737517	57.0	144.4558689038096	18.181818181818183	28361770.0
BC-0361053718.raw__raw_reads.read_2_val_2	86.59990906678594	57.0	144.29290319327743	18.181818181818183	28361770.0
BC-0361053744.raw__raw_reads.read_1_val_1	93.81644412604933	54.0	146.73742263839424	18.181818181818183	29592037.0
BC-0361053744.raw__raw_reads.read_2_val_2	92.42393720244004	53.0	146.55683615156335	18.181818181818183	29592037.0
BC-0361057091.raw__raw_reads.read_1_val_1	94.57918886017744	54.0	144.704611955247	18.181818181818183	29204750.0
BC-0361057091.raw__raw_reads.read_2_val_2	93.03992234078794	53.0	144.53331341648192	18.181818181818183	29204750.0
